Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
58077;Israel;Brazil;EL/M-2032;Combat ac radar;Sensors;2009;No;3;Yes;2018;No;New;2.0000;2.0000;6;No
60935;Netherlands;Turkey;STING;Fire control radar;Sensors;2014;Yes;1;No;2018;No;New;4.7500;4.7500;4.75;No
61240;Chile;Uruguay;Cessna-337/O-2;Light aircraft;Aircraft;2017;No;3;Yes;2018;No;Second hand;0.3500;0.14;0.42;No
56582;Russia;Angola;Su-30K;FGA aircraft;Aircraft;2013;No;2;Yes;2018;No;Second hand but modernized;47.5000;31.35;62.7;No
61570;Spain;Saudi Arabia;C-295MPA;MP aircraft;Aircraft;2015;No;2;No;2018;No;New;21.5000;21.5000;43;No
61596;Russia;China;48N6/SA-10;SAM;Missiles;2015;No;250;Yes;2018;No;New;1.1000;1.1000;275;No
61762;Spain;Saudi Arabia;Alakran 120mm;Self-propelled mortar;Artillery;2016;No;90;Yes;2018;No;New;0.3000;0.3000;27;No
34493;South Korea;Thailand;T-50 Golden Eagle;Trainer/combat ac;Aircraft;2015;No;4;No;2018;No;New;17.8000;17.8000;71.2;No
55975;United States;Singapore;S-70B/SH-60B Seahawk;ASW helicopter;Aircraft;2013;No;2;No;2018;No;New;17.0000;17.0000;34;No
61761;France;Argentina;Atar-8;Turbojet;Engines;2017;No;8;Yes;2018;No;Second hand;1.0000;0.4;3.2;No
61344;Spain;United States;Mirage F-1M;FGA aircraft;Aircraft;2017;No;19;No;2018;No;Second hand;21.0000;8.4;159.6;No
59646;United States;Jordan;JDAM;Guided bomb;Missiles;2015;Yes;198;Yes;2018;Yes;New;0.0200;0.0200;3.96;No
37696;France;Norway;FLASH;ASW sonar;Sensors;2002;No;2;Yes;2018;Yes;New;1.9000;1.9000;3.8;No
61153;Russia;Iraq;T-90S;Tank;Armoured vehicles;2016;No;73;Yes;2018;No;New;4.0000;4.0000;292;No
60412;India;Sri Lanka;Samarth;OPV;Ships;2014;No;1;No;2018;No;New;37.0000;37.0000;37;No
36074;Ukraine;Thailand;T-84 Oplot;Tank;Armoured vehicles;2011;No;13;No;2018;No;New;4.0000;4.0000;52;No
54712;France;Nigeria;FPB-110;Patrol craft;Ships;2016;Yes;2;No;2018;No;New;6.8000;6.8000;13.6;No
50654;United Kingdom;Oman;Typhoon Block-20;FGA aircraft;Aircraft;2012;No;4;No;2018;No;New;57.5000;57.5000;230;No
59634;Japan;Philippines;King Air;Light transport ac;Aircraft;2016;No;3;No;2018;No;Second hand;2.7500;1.1;3.3;No
61789;Ukraine;Thailand;BREM-84 Atlet;ARV;Armoured vehicles;2011;No;2;No;2018;No;New;1.5000;1.5000;3;No
30181;Italy;Australia;C-27J Spartan;Transport aircraft;Aircraft;2012;No;1;Yes;2018;No;New;16.0000;16.0000;16;No
54764;United States;Australia;AE-2100;Turboprop;Engines;2012;No;2;Yes;2018;No;New;1.5000;1.5000;3;No
55818;Italy;Norway;LMV;APV;Armoured vehicles;2013;No;31;Yes;2018;No;New;0.1500;0.1500;4.65;No
53561;United States;Egypt;M-1A1 Abrams;Tank;Armoured vehicles;2011;No;35;Yes;2018;No;New;4.0000;4.0000;140;Yes
56634;Netherlands;Finland;Leopard-2A6;Tank;Armoured vehicles;2014;No;20;Yes;2018;No;Second hand;5.0000;2;40;No
54209;United States;Indonesia;AH-64E Apache Guardian;Combat helicopter;Aircraft;2014;Yes;5;No;2018;No;New;15.0000;15.0000;75;No
61758;Turkey;Senegal;Ejder Yalcin;APC;Armoured vehicles;2017;Yes;25;Yes;2018;Yes;New;0.1700;0.1700;4.25;No
61824;United States;Senegal;ISC;Diesel engine;Engines;2017;Yes;25;Yes;2018;Yes;New;0.0800;0.0800;2;No
60445;United States;Afghanistan;S-70/UH-60A;Helicopter;Aircraft;2016;No;27;Yes;2018;No;Second hand but modernized;6.5000;4.29;115.83;No
61320;Russia;Viet Nam;Kh-35 Uran/SS-N-25;Anti-ship missile;Missiles;2012;Yes;15;Yes;2018;Yes;New;1.0000;1.0000;15;No
54348;Ukraine;Viet Nam;DT-59;Gas turbine;Engines;2012;Yes;2;No;2018;No;New;5.0000;5.0000;10;No
61184;United States;Philippines;ScanEagle;UAV;Aircraft;2017;No;6;No;2018;No;New;0.0400;0.0400;0.24;No
59458;Russia;Nigeria;Mi-35M;Combat helicopter;Aircraft;2015;No;2;No;2018;No;New;11.5000;11.5000;23;No
61858;Belgium;France;AS365/AS565 Panther;Helicopter;Aircraft;2018;Yes;4;Yes;2018;Yes;Second hand;3.2500;1.3;5.2;No
61791;Czechia;Ukraine;BMP-1;IFV;Armoured vehicles;2014;No;30;Yes;2018;No;Second hand but modernized;0.9000;0.594;17.82;No
60411;Israel;Philippines;Spike-ER;Anti-tank missile;Missiles;2016;No;70;Yes;2018;No;New;0.0600;0.0600;4.2;No
61155;Pakistan;Azerbaijan;MFI-17 Supporter;Trainer aircraft;Aircraft;2017;No;10;Yes;2018;No;New;0.2200;0.2200;2.2;No
58130;United States;Indonesia;APG-78 Longbow;Combat heli radar;Sensors;2012;Yes;2;Yes;2018;No;New;3.0000;3.0000;6;No
60885;Belarus;Serbia;MiG-29S;FGA aircraft;Aircraft;2017;No;4;Yes;2018;Yes;Second hand;28.5000;11.4;45.6;No
60003;Russia;Belarus;Protivnik-GE;Air search radar;Sensors;2014;Yes;2;Yes;2018;Yes;New;13.0000;13.0000;26;No
55108;United Kingdom;South Korea;MT-30;Gas turbine;Engines;2012;No;1;No;2018;No;New;12.0000;12.0000;12;No
61054;United States;South Korea;Mk-45-4 127mm;Naval gun;Naval weapons;2012;Yes;1;No;2018;No;New;7.5000;7.5000;7.5;No
39066;South Korea;Indonesia;Type-209/1400;Submarine;Ships;2011;No;1;No;2018;No;New;159.5200;159.5200;159.52;Yes
57738;Germany;United Kingdom;G-120TP;Trainer aircraft;Aircraft;2016;No;8;Yes;2018;No;New;0.4000;0.4000;3.2;No
61884;Netherlands;Libya HoR;Emer;OPV;Ships;2017;No;1;No;2018;No;Second hand;25.0000;10;10;No
56470;Israel;Azerbaijan;OPV-62;FAC;Ships;2013;No;2;Yes;2018;No;New;62.5000;62.5000;125;Yes
54310;Germany;Algeria;Fuchs-2;APC;Armoured vehicles;2014;Yes;120;Yes;2018;No;New;0.4000;0.4000;48;No
60544;Germany;Serbia;EC145;Light helicopter;Aircraft;2016;No;1;No;2018;No;New;3.2500;3.2500;3.25;No
58667;United States;Chile;S-70/UH-60L;Helicopter;Aircraft;2016;No;6;Yes;2018;No;New;7.2500;7.2500;43.5;No
61465;United States;Montenegro;Bell-412;Helicopter;Aircraft;2018;No;3;No;2018;No;New;5.0000;5.0000;15;No
32801;Italy;Norway;NH-90 NFH;ASW helicopter;Aircraft;2001;No;2;Yes;2018;No;New;15.1000;15.1000;30.2;Yes
61838;United States;France;AE-2100;Turboprop;Engines;2016;Yes;2;Yes;2018;Yes;New;1.5000;1.5000;3;No
50311;United States;Saudi Arabia;F-15SG;FGA aircraft;Aircraft;2011;No;26;Yes;2018;No;New;75.0000;75.0000;1950;No
61902;Australia;Japan;Bushmaster;APC;Armoured vehicles;2017;Yes;4;No;2018;No;New;0.2000;0.2000;0.8;No
61903;United States;Japan;Caterpillar-3126;Diesel engine;Engines;2017;Yes;4;No;2018;No;New;0.0500;0.0500;0.2;No
55808;Sweden;Norway;CV-90;APC;Armoured vehicles;2012;No;30;Yes;2018;No;New;0.4500;0.4500;13.5;Yes
58190;United States;Iraq;WGU-59 APKWS;ASM;Missiles;2015;Yes;850;Yes;2018;Yes;New;0.0400;0.0400;34;No
60946;Russia;Azerbaijan;BTR-82A;IFV;Armoured vehicles;2016;Yes;30;Yes;2018;No;New;0.9500;0.9500;28.5;No
30359;Germany;Qatar;Leopard-2A6;Tank;Armoured vehicles;2013;No;7;No;2018;No;New;5.0000;5.0000;35;No
60324;United Kingdom;Finland;G-115;Trainer aircraft;Aircraft;2016;No;4;Yes;2018;No;Second hand;0.1800;0.072;0.288;No
60320;Brazil;Afghanistan;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2017;No;6;Yes;2018;No;New;4.4000;4.4000;26.4;No
61425;Canada;Afghanistan;PT6;Turboprop/turboshaft;Engines;2017;No;6;Yes;2018;No;New;0.6000;0.6000;3.6;No
58599;Canada;Lebanon;PT6;Turboprop/turboshaft;Engines;2015;No;5;Yes;2018;No;New;0.6000;0.6000;3;No
54206;Indonesia;Viet Nam;C-212;Transport aircraft;Aircraft;2010;Yes;2;No;2018;No;New;3.8000;3.8000;7.6;No
59447;Italy;Angola;AW139;Helicopter;Aircraft;2015;No;2;Yes;2018;No;New;6.0000;6.0000;12;No
40298;Germany;Netherlands;PiPz-3 Kodiak;AEV;Armoured vehicles;2008;No;10;Yes;2018;No;New;2.5000;2.5000;25;No
34823;United States;Taiwan;S-70/UH-60L;Helicopter;Aircraft;2012;Yes;12;Yes;2018;No;New;7.2500;7.2500;87;No
59401;Switzerland;Brazil;Fieldguard-3;Fire control radar;Sensors;2012;No;1;Yes;2018;Yes;New;3.0000;3.0000;3;No
56581;United States;Saudi Arabia;GBU-39 SDB;Guided bomb;Missiles;2013;Yes;200;Yes;2018;Yes;New;0.0200;0.0200;4;No
36865;United States;UAE;Talon;ASM;Missiles;2013;No;500;Yes;2018;Yes;New;0.0400;0.0400;20;No
56578;United States;Saudi Arabia;AGM-154 JSOW;Guided bomb;Missiles;2014;No;135;Yes;2018;Yes;New;0.2000;0.2000;27;No
51883;Netherlands;Canada;SMART;Air search radar;Sensors;2009;No;1;No;2018;No;New;12.5000;12.5000;12.5;No
30472;United States;Canada;H-92 Superhawk;ASW helicopter;Aircraft;2004;No;4;Yes;2018;No;New;18.0000;18.0000;72;Yes
58789;UAE;Egypt;Panthera T6;APV;Armoured vehicles;2013;Yes;300;Yes;2018;Yes;New;0.1400;0.1400;42;Yes
58950;Russia;Egypt;Ka-52/Hokum-B;Combat helicopter;Aircraft;2015;Yes;19;Yes;2018;No;New;15.5000;15.5000;294.5;No
55412;United States;Philippines;AGM-65 Maverick;ASM;Missiles;2013;Yes;50;Yes;2018;Yes;New;0.1500;0.1500;7.5;No
59376;United States;Morocco;BGM-71 TOW;Anti-tank missile;Missiles;2016;No;300;Yes;2018;Yes;New;0.0100;0.0100;3;No
60487;United States;Morocco;BGM-71 TOW;Anti-tank missile;Missiles;2017;No;400;Yes;2018;Yes;New;0.0100;0.0100;4;No
60337;United States;Jordan;TPS-77;Air search radar;Sensors;2016;No;1;Yes;2018;Yes;New;11.0000;11.0000;11;No
52500;United States;Saudi Arabia;AIM-9X Sidewinder;SRAAM;Missiles;2011;Yes;50;Yes;2018;Yes;New;0.1800;0.1800;9;No
58758;Brazil;Mali;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2015;No;4;No;2018;No;New;4.4000;4.4000;17.6;No
40156;Germany;Netherlands;MTU-199;Diesel engine;Engines;2006;Yes;17;Yes;2018;No;New;0.1300;0.1300;2.21;No
60507;China;Pakistan;CSTC-1500;OPV;Ships;2015;No;1;No;2018;No;New;37.5000;37.5000;37.5;Yes
52108;South Korea;India;K-9 Thunder 155mm;Self-propelled gun;Artillery;2017;No;10;Yes;2018;No;New;4.3200;4.3200;43.2;Yes
58792;Canada;Mali;PT6;Turboprop/turboshaft;Engines;2015;No;4;No;2018;No;New;0.6000;0.6000;2.4;No
31755;United States;Italy;F-35A Litening-2;FGA aircraft;Aircraft;2006;Yes;1;Yes;2018;No;New;55.0000;55.0000;55;Yes
39458;Italy;France;Super Rapid 76mm;Naval gun;Naval weapons;2006;No;1;No;2018;No;New;2.7500;2.7500;2.75;No
55568;Germany;France;MTU-4000;Diesel engine;Engines;2005;Yes;4;No;2018;No;New;2.0000;2.0000;8;No
56624;France;Singapore;SAMP/T;ABM/SAM system;Air defence systems;2013;No;1;Yes;2018;No;New;55.0000;55.0000;55;No
40165;Germany;South Korea;Type-214;Submarine;Ships;2008;No;2;Yes;2018;No;New;275.0000;275.0000;550;Yes
25526;United States;Norway;F-35A Litening-2;FGA aircraft;Aircraft;2008;Yes;6;No;2018;No;New;55.0000;55.0000;330;Yes
57851;Netherlands;Estonia;CV-9035;IFV;Armoured vehicles;2014;No;16;Yes;2018;No;New;1.8000;1.8000;28.8;No
50185;Germany;Saudi Arabia;FPB-40;Patrol craft;Ships;2014;No;6;Yes;2018;No;New;12.0000;12.0000;72;No
60472;Germany;Lithuania;M-113;APC;Armoured vehicles;2016;No;168;Yes;2018;No;Second hand;0.2500;0.1;16.8;No
31749;United States;Israel;F-35A Litening-2;FGA aircraft;Aircraft;2010;No;6;Yes;2018;No;New;55.0000;55.0000;330;Yes
37548;United States;Saudi Arabia;MIM-104F PAC-3;ABM;Missiles;2015;No;160;Yes;2018;No;New;1.0000;1.0000;160;No
52498;United States;Saudi Arabia;AAQ-33 Sniper;Aircraft EO system;Sensors;2012;No;26;Yes;2018;Yes;New;1.0000;1.0000;26;No
58803;Denmark;France;Scanter-2001;Sea search radar;Sensors;2007;No;2;No;2018;No;New;1.0000;1.0000;2;No
21042;France;India;MILAN;Anti-tank missile;Missiles;1979;Yes;400;Yes;2018;No;New;0.0100;0.0100;4;Yes
32771;Germany;India;MILAN;Anti-tank missile;Missiles;1979;Yes;400;Yes;2018;No;New;0.0100;0.0100;4;Yes
62020;Bulgaria;Cote d'Ivoire;An-26;Transport aircraft;Aircraft;2017;No;2;No;2018;No;Second hand;8.5000;3.4;6.8;No
57243;Italy;Qatar;Kronos;Air search radar;Sensors;2015;No;2;Yes;2018;Yes;New;10.0000;10.0000;20;No
58852;United States;Jordan;Caiman;APC;Armoured vehicles;2014;No;55;Yes;2018;Yes;Second hand;0.2500;0.1;5.5;No
59893;United States;Jordan;GMLRS;Guided rocket;Missiles;2016;No;44;Yes;2018;Yes;New;0.0800;0.0800;3.52;No
61421;United States;Afghanistan;ASV-150/M-1117;APC;Armoured vehicles;2017;No;55;Yes;2018;No;New;0.3000;0.3000;16.5;No
52730;United States;Denmark;MH-60R Seahawk;ASW helicopter;Aircraft;2012;No;2;No;2018;No;New;16.1000;16.1000;32.2;No
52905;United States;Japan;S-70B/SH-60B Seahawk;ASW helicopter;Aircraft;1997;No;4;Yes;2018;No;New;17.0000;17.0000;68;Yes
50230;United States;Australia;SPY-1F;Air search radar;Sensors;2008;No;1;No;2018;No;New;20.0000;20.0000;20;No
59899;United States;Australia;Standard Missile-2MR;SAM;Missiles;2016;Yes;40;Yes;2018;Yes;New;0.3000;0.3000;12;No
60876;United States;Australia;Caterpillar-3616;Diesel engine;Engines;2007;Yes;2;No;2018;No;New;2.5000;2.5000;5;No
61215;Russia;Burkina Faso;Mi-8MT/Mi-17;Transport helicopter;Aircraft;2017;No;2;Yes;2018;Yes;New;6.7500;6.7500;13.5;No
61617;United States;Jamaica;Bell-429;Light helicopter;Aircraft;2018;Yes;2;No;2018;No;New;2.7000;2.7000;5.4;No
57646;Ukraine;China;DT-59;Gas turbine;Engines;2008;Yes;12;Yes;2018;No;New;5.0000;5.0000;60;Yes
58986;Germany;China;MTU-956;Diesel engine;Engines;2010;Yes;12;Yes;2018;No;New;1.2000;1.2000;14.4;Yes
62033;China;Bolivia;Tiger;APV;Armoured vehicles;2018;No;10;No;2018;No;New;0.1400;0.1400;1.4;No
61853;Czechia;Ukraine;2S1 122mm;Self-propelled gun;Artillery;2018;No;33;No;2018;No;Second hand;0.9000;0.36;11.88;No
58224;United States;Turkey;CH-47F Chinook;Transport helicopter;Aircraft;2015;No;4;Yes;2018;No;New;20.0000;20.0000;80;No
50857;Germany;Turkey;MTU-881;Diesel engine;Engines;2008;No;10;Yes;2018;Yes;New;0.1800;0.1800;1.8;No
62081;United Kingdom;Singapore;Trent-700;Turbofan;Engines;2014;No;4;Yes;2018;No;New;6.0000;6.0000;24;No
62086;Cote d'Ivoire;France;Bastion;APC/APV;Armoured vehicles;2017;Yes;9;Yes;2018;Yes;New;0.1400;0.1400;1.26;No
35702;Ukraine;China;AI-222;Turbofan;Engines;2011;No;40;Yes;2018;No;New;1.2000;1.2000;48;No
62100;Germany;United Kingdom;ASR-NG;Air search radar;Sensors;2015;No;1;Yes;2018;No;New;9.0000;9.0000;9;No
62008;China;Central African Republic;CSK-131;APC/APV;Armoured vehicles;2018;No;12;Yes;2018;No;New;0.1200;0.1200;1.44;No
56806;Germany;Singapore;MTU-4000;Diesel engine;Engines;2013;No;4;Yes;2018;No;New;2.0000;2.0000;8;No
59139;France;Singapore;MICA;BVRAAM;Missiles;2013;Yes;40;Yes;2018;Yes;New;0.4000;0.4000;16;No
52501;United States;Saudi Arabia;AIM-120C AMRAAM;BVRAAM;Missiles;2013;No;150;Yes;2018;Yes;New;0.6000;0.6000;90;No
59295;France;Kuwait;Sherpa;APV;Armoured vehicles;2015;No;15;Yes;2018;No;New;0.2200;0.2200;3.3;No
62188;United States;Ukraine;Island;Patrol craft;Ships;2018;No;2;No;2018;No;Second hand;9.3000;3.72;7.44;No
55972;Turkey;UAE;CIRIT;ASM;Missiles;2013;Yes;2100;Yes;2018;Yes;New;0.0400;0.0400;84;No
56156;United States;South Korea;MIM-104F PAC-3;ABM;Missiles;2015;No;80;Yes;2018;Yes;New;1.0000;1.0000;80;No
59926;United States;Saudi Arabia;M-88A2 HERCULES;ARV;Armoured vehicles;2016;Yes;10;Yes;2018;Yes;New;2.0000;2.0000;20;No
39353;United Kingdom;Saudi Arabia;Meteor;BVRAAM;Missiles;2014;Yes;20;Yes;2018;Yes;New;0.8000;0.8000;16;No
55310;China;Kazakhstan;Y-8;Transport aircraft;Aircraft;2018;No;1;Yes;2018;No;New;23.0000;23.0000;23;No
61628;France;Tanzania;EC725 Super Cougar;Transport helicopter;Aircraft;2017;No;2;No;2018;No;New;7.5000;7.5000;15;No
51525;Netherlands;United States;Stan Patrol-4708;Patrol craft;Ships;2009;No;4;No;2018;No;New;15.4000;15.4000;61.6;Yes
51120;Russia;China;Su-35;FGA aircraft;Aircraft;2015;No;10;No;2018;No;New;60.0000;60.0000;600;No
31007;United States;Australia;P-8A Poseidon;ASW aircraft;Aircraft;2014;No;2;Yes;2018;No;New;125.0000;125.0000;250;Yes
56425;Switzerland;France;PC-21;Trainer aircraft;Aircraft;2016;No;15;No;2018;No;New;4.9000;4.9000;73.5;No
62098;Germany;Australia;ASR-NG;Air search radar;Sensors;2015;No;3;Yes;2018;No;New;9.0000;9.0000;27;No
59326;United States;Turkey;JDAM;Guided bomb;Missiles;2015;No;650;Yes;2018;Yes;New;0.0200;0.0200;13;No
60457;United States;Belgium;JDAM;Guided bomb;Missiles;2016;Yes;36;Yes;2018;Yes;New;0.0200;0.0200;0.72;No
57873;Netherlands;Singapore;NS-100;Air/sea search radar;Sensors;2013;No;2;No;2018;No;New;8.0000;8.0000;16;No
60478;France;Saudi Arabia;COBRA;Arty locating radar;Sensors;2014;Yes;2;Yes;2018;Yes;New;10.0000;10.0000;20;No
61965;Germany;Thailand;IRIS-T;SRAAM;Missiles;2018;No;21;Yes;2018;Yes;New;0.2000;0.2000;4.2;No
61524;Turkey;Qatar;Ejder Yalcin;APC;Armoured vehicles;2017;Yes;50;Yes;2018;Yes;New;0.1700;0.1700;8.5;No
62210;Portugal;Colombia;AS365/AS565 Panther;Helicopter;Aircraft;2018;No;2;No;2018;No;Second hand;3.2500;1.3;2.6;No
56416;Netherlands;Jordan;AGM-65 Maverick;ASM;Missiles;2013;No;8;Yes;2018;Yes;Second hand;0.1500;0.06;0.48;No
62264;UAE;Lebanon;SA-330 Puma;Helicopter;Aircraft;2018;Yes;1;Yes;2018;Yes;Second hand;6.0000;2.4;2.4;No
60142;Germany;United Kingdom;EC135;Light helicopter;Aircraft;2015;No;1;No;2018;No;New;2.2500;2.2500;2.25;No
34771;Sweden;South Korea;CEROS-200;Fire control radar;Sensors;2005;No;1;No;2018;No;New;2.5000;2.5000;2.5;Yes
50516;United States;Germany;JDAM;Guided bomb;Missiles;2008;No;100;Yes;2018;Yes;New;0.0200;0.0200;2;No
57677;United States;Turkey;AIM-120C AMRAAM;BVRAAM;Missiles;2014;Yes;36;Yes;2018;Yes;New;0.6000;0.6000;21.6;No
57712;United States;South Korea;AIM-9X Sidewinder;SRAAM;Missiles;2015;Yes;72;Yes;2018;Yes;New;0.1800;0.1800;12.96;No
60147;Turkey;Oman;Pars IFV-25;IFV;Armoured vehicles;2015;No;60;Yes;2018;No;New;1.3000;1.3000;78;No
30254;Turkey;Malaysia;Pars;APC;Armoured vehicles;2011;No;25;Yes;2018;No;New;0.3500;0.3500;8.75;Yes
52245;Turkey;Malaysia;Pars IFV-25;IFV;Armoured vehicles;2011;No;4;Yes;2018;No;New;1.3000;1.3000;5.2;Yes
53497;Turkey;Malaysia;Pars IFV-30;IFV;Armoured vehicles;2011;No;20;Yes;2018;No;New;0.7000;0.7000;14;No
57216;Norway;Poland;NSM;Anti-ship missile;Missiles;2014;No;18;Yes;2018;Yes;New;1.1000;1.1000;19.8;No
56570;Norway;Netherlands;Protector;APC turret;Other;2006;Yes;15;Yes;2018;No;New;0.0500;0.0500;0.75;No
61713;Sweden;Denmark;DC13;Diesel engine;Engines;2016;No;25;No;2018;No;New;0.0600;0.0600;1.5;No
62005;Italy;Nepal;AW139;Helicopter;Aircraft;2017;No;1;No;2018;No;New;6.0000;6.0000;6;No
62229;Italy;Bangladesh;AW139;Helicopter;Aircraft;2017;Yes;2;No;2018;No;New;6.0000;6.0000;12;No
62236;France;Lesotho;AS-350/AS-550 Fennec;Light helicopter;Aircraft;2017;Yes;1;No;2018;No;New;0.9000;0.9000;0.9;No
59323;Israel;Viet Nam;SPYDER-MR;SAM system;Air defence systems;2015;Yes;2;Yes;2018;Yes;New;45.0000;45.0000;90;No
60565;Israel;Viet Nam;Derby;BVRAAM;Missiles;2015;Yes;80;Yes;2018;Yes;New;0.4000;0.4000;32;No
62241;Israel;African Union**;Aerostar;UAV;Aircraft;2017;No;3;Yes;2018;No;New;0.1000;0.1000;0.3;No
38255;Israel;Italy;Spike-MR/LR;Anti-tank missile;Missiles;2009;No;50;Yes;2018;Yes;New;0.0300;0.0300;1.5;Yes
61952;Canada;Qatar;DHC-6 Twin Otter;Transport aircraft;Aircraft;2018;No;1;Yes;2018;No;New;2.5000;2.5000;2.5;No
61062;China;Belarus;VN-3;APV;Armoured vehicles;2016;No;5;Yes;2018;No;New;0.1400;0.1400;0.7;No
57173;United Kingdom;Latvia;Spartan;APC;Armoured vehicles;2015;No;30;Yes;2018;No;Second hand;0.1800;0.072;2.16;No
61080;Italy;Portugal;AW119 Koala;Light helicopter;Aircraft;2018;No;1;Yes;2018;Yes;New;2.2500;2.2500;2.25;No
30257;South Africa;Malaysia;Ingwe;Anti-tank missile;Missiles;2012;No;50;Yes;2018;No;New;0.0300;0.0300;1.5;No
60335;Austria;Latvia;M-109A5 155mm;Self-propelled gun;Artillery;2017;No;8;Yes;2018;No;Second hand;1.2500;0.5;4;No
54813;United States;Bahrain;M-113;APC;Armoured vehicles;2011;Yes;100;Yes;2018;Yes;Second hand;0.2500;0.1;10;No
52586;United States;Israel;Namer;APC/IFV;Armoured vehicles;2011;No;30;Yes;2018;Yes;New;1.5000;1.5000;45;Yes
55716;United States;Mexico;SandCat;APV;Armoured vehicles;2012;Yes;100;Yes;2018;Yes;New;0.1400;0.1400;14;Yes
36009;United States;Argentina;TFE-731;Turbofan;Engines;2009;Yes;2;Yes;2018;Yes;New;0.6000;0.6000;1.2;No
62266;Ecuador;Uruguay;T-34C Turbo Mentor;Trainer aircraft;Aircraft;2018;No;4;Yes;2018;Yes;Second hand;1.3500;0.54;2.16;No
59925;United States;Saudi Arabia;M-1A2S;Tank;Armoured vehicles;2016;No;70;Yes;2018;Yes;New;5.0000;5.0000;350;No
38151;Italy;Slovakia;C-27J Spartan;Transport aircraft;Aircraft;2014;No;1;No;2018;No;New;16.0000;16.0000;16;No
31882;Italy;Turkey;A-129C Mangusta;Combat helicopter;Aircraft;2008;Yes;18;No;2018;No;New;9.9000;9.9000;178.2;Yes
60951;Turkey;Pakistan;ASELPOD;Aircraft EO system;Sensors;2017;No;16;Yes;2018;Yes;New;1.0000;1.0000;16;No
62251;United States;Guatemala;Cessna-208 Caravan;Light transport ac;Aircraft;2018;No;2;Yes;2018;No;New;0.9000;0.9000;1.8;No
62032;Unknown supplier(s);Guyana;Skyvan;Light transport ac;Aircraft;2018;Yes;2;Yes;2018;Yes;Second hand;2.5000;1;2;No
62153;Italy;Pakistan;Puma;APV;Armoured vehicles;2015;No;79;No;2018;No;Second hand;0.1600;0.064;5.056;No
54969;Italy;Indonesia;Black Shark;AS/ASW torpedo;Missiles;2013;Yes;12;Yes;2018;Yes;New;1.8000;1.8000;21.6;No
60512;Italy;Thailand;AW149;Helicopter;Aircraft;2016;No;5;Yes;2018;No;New;7.0000;7.0000;35;No
60562;Switzerland;Jordan;PC-21;Trainer aircraft;Aircraft;2017;No;2;No;2018;No;New;4.9000;4.9000;9.8;No
60160;Russia;Kazakhstan;Mi-35M;Combat helicopter;Aircraft;2017;No;4;Yes;2018;Yes;New;11.5000;11.5000;46;No
61569;United States;France;King Air;Light transport ac;Aircraft;2016;No;1;No;2018;No;New;2.7500;2.7500;2.75;No
15921;Sweden;Pakistan;RBS-70;Portable SAM;Missiles;1985;Yes;25;Yes;2018;Yes;New;0.0800;0.0800;2;Yes
